IDA blend,IDB,1914.583552,2278.810431,3961.668295,5111.530086
Indonesia,IDN,2930,4430,8280,11930
IDA only,IDX,942.1295697,1275.613142,2217.370345,3432.205986
Isle of Man,IMN,,,,
India,IND,1190,2070,4190,6960
Not classified,INX,,,,
Ireland,IRL,12750,26310,36300,68050
"Iran, Islamic Rep.",IRN,7240,10300,17390,
Iraq,IRQ,,9530,12860,11280
Iceland,ISL,21470,28680,32190,61170
Israel,ISR,14610,23370,28290,42140
Italy,ITA,18380,26980,35110,44580
Jamaica,JAM,4300,6110,7600,9770
Jordan,JOR,3950,5930,9310,10240
Japan,JPN,19710,27220,35890,44780
Kazakhstan,KAZ,,7250,16710,24050
Kenya,KEN,1430,1600,2300,4420
Kyrgyz Republic,KGZ,,1750,2890,5070
Cambodia,KHM,,1040,2320,4180
Kiribati,KIR,1530,2570,2510,4650
St. Kitts and Nevis,KNA,9160,15170,21250,25920
"Korea, Rep.",KOR,8380,18430,31790,43430
Kuwait,KWT,,66160,79390,
Latin America & Caribbean (excluding high income),LAC,6038.481621,8358.112712,12669.34326,15712.51134
Lao PDR,LAO,1030,1760,3580,7960
Lebanon,LBN,4680,9120,14760,15260
Liberia,LBR,,880,930,1320
Libya,LBY,,,29880,16090
St. Lucia,LCA,6130,8330,12080,15140
Latin America & Caribbean,LCN,6031.611301,8491.585753,12943.15934,16202.05884
Least developed countries: UN classification,LDC,843.5020205,1156.995823,2108.09925,3095.281155
Low income,LIC,895.9609901,1098.876244,1801.926312,2455.746073
Liechtenstein,LIE,,,,
Sri Lanka,LKA,2290,4270,8110,13230
Lower middle income,LMC,1715.401389,2392.76836,4455.147817,6792.884835
Low & middle income,LMY,2467.363513,3650.308282,7433.01977,10966.88541
Lesotho,LSO,1310,1600,2870,3290
Late-demographic dividend,LTE,2794.536096,4674.720359,11307.68296,17891.32703
Lithuania,LTU,,8310,19920,37010
Luxembourg,LUX,28730,49060,61800,77570
Latvia,LVA,,8010,17780,31770
"Macao SAR, China",MAC,27440,32040,88440,
St. Martin (French part),MAF,,,,
Morocco,MAR,2480,3510,6240,7680
Monaco,MCO,,,,
Moldova,MDA,,3140,6860,
Madagascar,MDG,1160,1270,1510,1660
Maldives,MDV,,8060,11180,17880
Middle East & North Africa,MEA,7892.990116,11418.03122,17231.73774,17401.51992
Mexico,MEX,7870,10850,15080,19810
Marshall Islands,MHL,,3250,3970,
Middle income,MIC,2593.963291,3878.7606,8015.549102,11968.94904
North Macedonia,MKD,5460,6010,11120,17110
Mali,MLI,800,1120,1720,2360
Malta,MLT,10040,19020,26370,41690
Myanmar,MMR,430,920,3240,5160
Middle East & North Africa (excluding high income),MNA,4715.86835,7187.129477,11465.32474,
Montenegro,MNE,,6310,13550,23070
Mongolia,MNG,3290,3710,6970,11370
Northern Mariana Islands,MNP,,,,
Mozambique,MOZ,,460,930,1300
Mauritania,MRT,2560,3070,4040,5350
Mauritius,MUS,4900,9000,15560,26410
Malawi,MWI,460,670,1010,1080
Malaysia,MYS,6530,11870,19860,28680
North America,NAC,23234.12892,36001.23402,47959.38714,64339.1178
Namibia,NAM,3720,5270,8060,9750
New Caledonia,NCL,,,,
Niger,NER,760,770,1050,1250
Nigeria,NGA,1940,2090,4450,5170
Nicaragua,NIC,1960,2670,3870,5490
Netherlands,NLD,19010,32450,45210,59890
Norway,NOR,17910,36480,58630,69610
Nepal,NPL,750,1190,1910,3600
Nauru,NRU,,,7200,17790
New Zealand,NZL,14240,20300,29700,42710
OECD members,OED,16448.12617,24711.25456,34558.37955,46642.34222
Oman,OMN,22990,34940,44510,28590
Other small states,OSS,,10629.5696,20592.33795,23199.7305
Pakistan,PAK,1990,2600,4040,5210
Panama,PAN,4870,8040,13960,30600
Peru,PER,3160,4930,9020,12760
Philippines,PHL,2620,3760,6260,10200
Palau,PLW,,11050,14740,
Papua New Guinea,PNG,1400,2000,2820,4470
Poland,POL,5860,10610,20380,32710
Pre-demographic dividend,PRE,1314.21529,1803.152907,3005.262144,3551.895529
Puerto Rico,PRI,9480,15410,20210,24240
"Korea, Dem. People’s Rep.",PRK,,,,
Portugal,PRT,11750,18580,26410,35600
Paraguay,PRY,,5820,9520,12730
West Bank and Gaza,PSE,,2980,3820,
Pacific island small states,PSS,2778.424493,3945.436111,4816.029585,7320.440286
Post-demographic dividend,PST,17821.50175,26999.07048,38144.48134,51604.31015
French Polynesia,PYF,,,,
Qatar,QAT,,89190,118390,94170
Romania,ROU,5250,5810,16780,31860
Russian Federation,RUS,8010,6650,19860,28270
Rwanda,RWA,560,630,1350,2240
South Asia,SAS,1239.140904,2062.287322,4003.747375,6525.713582
Saudi Arabia,SAU,33310,40070,52220,49400
Sudan,SDN,1040,1740,2950,3990
Senegal,SEN,1440,1860,2640,3440
Singapore,SGP,23600,43570,74480,92020
Solomon Islands,SLB,840,1450,1340,2350
Sierra Leone,SLE,690,670,1150,1670
El Salvador,SLV,2840,4350,5950,8700
San Marino,SMR,,,,
Somalia,SOM,,,,
Serbia,SRB,,6020,12530,17960
Sub-Saharan Africa (excluding high income),SSA,1586.774851,1847.758195,3015.290367,3767.956221
South Sudan,SSD,,,,
Sub-Saharan Africa,SSF,1594.508163,1861.927215,3034.818474,3796.049529
Small states,SST,,9786.965019,18277.18792,20844.61836
Sao Tome and Principe,STP,,,2890,4090
Suriname,SUR,6600,7340,13220,15200
Slovak Republic,SVK,,11340,24650,33680
Slovenia,SVN,,17960,27480,40070
Sweden,SWE,19890,29480,43360,57300
Eswatini,SWZ,3700,4810,7380,7940
Sint Maarten (Dutch part),SXM,,,32950,
Seychelles,SYC,8650,13540,18350,29300
Syrian Arab Republic,SYR,,,,
Turks and Caicos Islands,TCA,,,,
Chad,TCD,690,760,1760,1620
East Asia & Pacific (IDA & IBRD countries),TEA,1435.07983,3269.114454,8736.09236,15083.9735
Europe & Central Asia (IDA & IBRD countries),TEC,6771.076384,6486.584752,15454.72906,23356.97676
Togo,TGO,820,950,1140,1670
Thailand,THA,4260,7160,12640,18520
Tajikistan,TJK,2640,1000,2880,4100
Turkmenistan,TKM,,4120,8990,
Latin America & the Caribbean (IDA & IBRD countries),TLA,6045.932238,8477.734109,12936.14426,16197.3787
Timor-Leste,TLS,,1780,7410,4730
Middle East & North Africa (IDA & IBRD countries),TMN,4738.272227,7231.890497,11554.82416,
Tonga,TON,2380,3650,5050,
South Asia (IDA & IBRD),TSA,1239.140904,2062.287322,4003.747375,6525.713582
Sub-Saharan Africa (IDA & IBRD countries),TSS,1594.508163,1861.927215,3034.818474,3796.049529
Trinidad and Tobago,TTO,6510,13430,29040,26950
Tunisia,TUN,3500,5710,9680,10800
Turkey,TUR,8420,9450,17290,27410
Tuvalu,TUV,,,4680,6170
Tanzania,TZA,930,1180,2050,2700
Uganda,UGA,660,1120,2050,2210
Ukraine,UKR,7470,3980,8120,13750
Upper middle income,UMC,3301.352196,5180.953191,11417.59576,17231.73528
Uruguay,URY,6170,10230,16190,21120
United States,USA,23640,36800,48900,65880
Uzbekistan,UZB,,2450,5140,7400
St. Vincent and the Grenadines,VCT,3570,5920,9960,12880
"Venezuela, RB",VEN,9450,11610,16530,
British Virgin Islands,VGB,,,,
Virgin Islands (U.S.),VIR,,,,
Vietnam,VNM,860,2120,4050,7750
Vanuatu,VUT,1700,2140,2790,3310
World,WLD,5482.528346,7959.427138,12825.87497,17590.88553
Samoa,WSM,1690,,5200,6490
Kosovo,XKX,,,7900,12090
"Yemen, Rep.",YEM,2060,2720,3920,
South Africa,ZAF,6180,7540,11470,12630
Zambia,ZMB,1350,1570,2970,3580
Zimbabwe,ZWE,1740,2190,1610,2730
