CR_Title,CR_Author_Name,CR_Provider,CR_Create_Date,CR_Provider_St,CR_Language,CR_URL,CR_Media_Formats,CR_Material_Type,CR_Subject,CR_Keywords,CR_COU_TITLE,CR_COU_URL,CR_Abstract,CR_Educational_Use,CR_Primary_User,CR_Sublevel,CR_WORKFLOW_STATE
11 - Hiroshima - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=1a3797bb49cf42168b574231a2b27049,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,English|geo-inquiries|geo-inquiry|geoenquiries|geoenquiry|geoinquiries|geoinquiry|ConnectED|AmLit|American Lit|American Literature|bomb|Hiroshima|WW2|WWII|Japan,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Learn about the Hiroshima explosion and how the height of the explosion and its effects are linked. This activity investigates Hiroshima by John Hersey.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
12 - Dr. King's road to a Birmingham jail - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=a6c83aae7d604f989d53e25b4903202f,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,GeoInquiries|geo-inquiries|geo-inquiry|geoenquiries|geoenquiry|geoinquiry|AmLit|American Lit|American Literature|school|schools|K-12|K12|English|ELA,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the events leading up to and beyond Dr. Martin Luther King Jr.’s “Letter from Birmingham Jail.”,Curriculum/Instruction,Teachers|Students,Middle School|High School,
13 - Finding Mango street - Esri GeoInquiries collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=92c5722c09094df1b144ffff2dd1bf00,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,geoinquiries|geo-inquiry|geo-inquiries|geoenquiries|geoenquiry|geoinquiry|literature|AmLit|American Lit|American Literature|House on Mango Street|Mango|Mango street|immigration|schools|school|classroom|instruction|ConnectED|K12|K-12|Literature|ELA|English,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the ethnic diversity of U.S. states and neighborhoods. This activity explores The House on Mango Street by Sandra Cisneros.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
14 - F451: Ban or burn the books! - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=6b4771be0a674a37a08b15cd04619e0f,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,geo-inquiries|geo-inquiry|geoenquiries|geoenquiry|geoinquiries|geoinquiry|school|schools|K12|American Literature|Literature|ConnectED|F451|Bradbury|Fahrenheit 451|censorship|1984|distopian,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore banned books population density religion and global literacy related to Fahrenheit 451 by Ray Bradbury.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
15 - Surviving the wild - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=be6d32a07e314188905fd128086238c8,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,geo-inquiries|geo-inquiry|geoenquiries|geoenquiry|geoinquiries|geoinquiry|school|schools|ELA|English|American Lit|literature,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore Chris McCandless’ journey into the wilds of Alaska and the factors that led to his death. Book: Into the Wild by Jon Krakauer.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
01 - Topography & our national heritage - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=355bbf9938cb4f24be9f90c9004d64a8,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry|Earth Science|ConnectEd|Instructional materials|TESS|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Interpret properties of the landscape using topographic maps of well-known national parks. Topography & our national heritage - Esri GeoInquiries™ collection for Earth Science,Curriculum/Instruction,Teachers|Students,Middle School|High School,
02 - Remote Sensing - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=458c8e52e65545a7b7003f50d841692e,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry|ConnectED|Earth Science|Instructional materials|Earthquakes|K12|remote sensing|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,A geoinquiry where students consider place-based hazards using remotely sensed data. Remote Sensing - Esri GeoInquiries™ collection for Earth Science ,Curriculum/Instruction,Teachers|Students,Middle School|High School,
03 - Mining the world’s most used minerals - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=d614a429f1404524ae6ad69bf8972f4b,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry|Earth Science|ConnectEd|Instructional materials|Mines|Mining|Rocks|K-12|K12|Minerals|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,This geoinquiry analyzes the quantities and origins of basic mineral resources. Mining the world’s most used minerals - Esri GeoInquiries™ collection for Earth Science ,Curriculum/Instruction,Teachers|Students,Middle School|High School,
04 - Rock types tell stories - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=75d6673244a144f7aa5630fe63110662,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry|Earth Science|ConnectEd|Instructional materials|TESS|Rocks|Rock types|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Examine patterns of where rock types form and the relationship they have toward each other. Rock types tell stories - Esri GeoInquiries™ collection for Earth Science ,Curriculum/Instruction,Teachers|Students,Middle School|High School,
05 - North American landforms - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=0190bafdba7b46f59684b64bf57df126,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,Landforms|Earth Science|GeoInquiry|GeoInquiries|science education|ConnectED|K-12|K12|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Introduce and explore types of landforms. North American landforms - Esri GeoInquiries™ collection for Earth Science ,Curriculum/Instruction,Teachers|Students,Middle School|High School,
06 - Cracked plates - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=eee721d16332416691ff11020a8b8fab,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry|Earth Science|ConnectEd|Instructional materials|TESS|Tectonic|Tectonic Boundaries|Tectonics|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Students investigate dynamics in the earth’s crust that explain multiple Earth Science phenomena. Cracked plates - Esri GeoInquiries™ collection for Earth Science,Curriculum/Instruction,Teachers|Students,Middle School|High School,
07 - The earth moves under our feet (earthquakes) - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=f61113ef0baa48efbbab4d70681c9c00,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry|ConnectED|Earth Science|K12|instructional materials|Earthquakes|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Investigate where current quakes are today from ground-sensed motion.  The earth moves under our feet (earthquakes) - Esri GeoInquiries™ collection for Earth Science ,Curriculum/Instruction,Teachers|Students,Middle School|High School,
08 - Plate type effect on volcanoes - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=f4a0d6aaf7a14e2c99109017f73f11cf,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry|Earth Science|K12|ConnectEd|Instructional materials|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Investigate how properties of volcanoes are influenced by the crust and plate boundaries nearest them. Plate type effect on volcanoes - Esri GeoInquiries™ collection for Earth Science,Curriculum/Instruction,Teachers|Students,Middle School|High School,
09 - Mountain building - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=f5bce0dfedda485dbd3fa72a36a95b34,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,K12|Instructional materials|ConnectEd|Earth Science|Mountains|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Illustrate and explore how global mountain ranges are formed in relation to plate motions.  Mountain building - Esri GeoInquiries™ collection for Earth Science ,Curriculum/Instruction,Teachers|Students,Middle School|High School,
10 - A river runs through it - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=483ee42fb7d2437aa30b60c4e68466d0,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry|Earth Science|ConnectEd|Instructional materials|Water|surface water|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Discover how water is gathered and travels to larger and larger watersheds to meet the sea.  A river runs through it (freshwater) - Esri GeoInquiries™ collection for Earth Science ,Curriculum/Instruction,Teachers|Students,Middle School|High School,
11 - Ocean features - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=4a339b9461b04e1f88af8cf1982ee9ee,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry|Oceans|Water|ConnectED|Earth Science|NGSS|K-12|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Categorize sections of the oceans and understand their importance. Ocean features - Esri GeoInquiries™ collection for Earth Science,Curriculum/Instruction,Teachers|Students,Middle School|High School,
12 - Fluid Earth: winds and currents - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=90bd06f031f2430eba157f3c15d8e32d,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry|ConnectED|Earth Science|oceans|Atmosphere|Currents|Sea|Weather|science education|NGSS|K-12|schools|science|education|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the relationship between air and water currents. Fluid Earth: winds and currents - Esri GeoInquiries™ collection for Earth Science ,Curriculum/Instruction,Teachers|Students,Middle School|High School,
13 - How’s the weather?  - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=07f923caf70449fd8e0e4eeb6af3fe92,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,Weather|WX|Earth science|GeoInquiry|science education|K-12|ConnectED|K12|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore relationships between temperature pressure and humidity with daily weather forecasts. How’s the weather? - Esri GeoInquiries™ collection for Earth Science ,Curriculum/Instruction,Teachers|Students,Middle School|High School,
14 - Tropical Storms - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=f982bac0be4345898957d9010a677bf0,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,Storms|Weather|WX|science|science education|GeoInquiry|GeoInquiries|ConnectED|Earth Science|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Use hurricane track information to understand factors that encourage the formation of hurricanes. Tropical Storms - Esri GeoInquiries™ collection for Earth Science,Curriculum/Instruction,Teachers|Students,Middle School|High School,
15 - Climate Change - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=3720ba734886486f8d3ef46f73eb67fe,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,GeoInquiry Climate|CLimate|GeoInquiry|K12|Earth Scien|Climate change|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Find areas that are predicted to change because of climate change. Climate Change - Esri GeoInquiries™ collection for Earth Science ,Curriculum/Instruction,Teachers|Students,Middle School|High School,
Level 2 - Cracked Plates: Earthquake-Prone - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=dfcae84a165449ba9e59c66f77edb70a,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,earthquake|analysis|GeoInquiries|GeoInquiry|earthquakes|cities|south america|find existing location|find location,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the spatial distribution of earthquakes around the world and their effects on cities in one continent in particular.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
Level 2 - Earth Moves: Seismic Stations - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=35da62ec0783432d810f863833160cd0,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,seismic|seismic stations|cracked plates|tectonics|earthquakes|earthquake|buffer|create buffer|find location,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,A case study in analysis exploring the 2011 Virginia earthquake.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
Level 2 - Mountain Building: Volcanoes  - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=7ef8c8286867440e9da65ae39c5330b8,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,mountains|volcanoes|mountain building|tectonic boundaries|plates|GeoInquiries|GeoInquiry|earth science,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Analyze the relationship that mountains and volcanoes have with tectonic plate boundaries.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
Level 2 - Oceans: Hot Spots - Esri GeoInquiries™ collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=6b4f6ba4e4db46fbb7ecf69a207eb188,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,coeans|ocean|ocean features|hot spots|hotspots|volcanic,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Analyze the distribution of volcanic hot spots and their role in island formation.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
Level 2 - Rivers: Watershed Analysis - Esri GeoInquiries collection for Earth Science,Esri,Esri,11/23/21, Earth Science,en,https://arcgis.com/home/item.html?id=ea9320c167b1404aa28fe644d65f42f4,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Geology|Oceanography|Atmospheric Science,watershed|watershed analysis|rivers|surface water|hydrology|analysis|GeoInquiries|GeoInquiry,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Analyze major and local rivers and their watersheds.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
01 - Ecosystems and biomes - Esri GeoInquiries™ collection for Upper Elementary ,Esri,Esri,11/23/21, Upper Elementary ,en,https://arcgis.com/home/item.html?id=05f8b728067f475d8da541b5a76f0ca3,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Elementary education,biomes|ecosystems|GeoInquiries|GeoInquiry|ConnectED|NGSS|C3|Grade 4|elementary|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,This activity provides a broad look at biomes and ecosystems across the globe,Curriculum/Instruction,Teachers|Students,Middle School|High School,
02 - Time zones - Esri GeoInquiries™ collection for Upper Elementary,Esri,Esri,11/23/21, Upper Elementary,en,https://arcgis.com/home/item.html?id=c14d4a14fd644c43b2a41dfe29fcb5fe,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Elementary education,Time zones|Timezones|GeoInquiries|GeoInquiry|ConnectED|science|Common Core|social studies|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Students will explore time zones using map visualizations and mathematic calculations.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
03 - Street maps - Esri GeoInquiries™ collection for Upper Elementary,Esri,Esri,11/23/21, Upper Elementary,en,https://arcgis.com/home/item.html?id=6c9b4c045c214b67a07fccfd3528e425,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Elementary education,GeoInquiries|GeoInquiry|ConnectED|Streetmaps|Street maps|social studies|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Students will explore street maps measure distance and calculate travel times as they direct their school bus to the zoo.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
04 - Settlement patterns - Esri GeoInquiries collection for Upper Elementary,Esri,Esri,11/23/21, Upper Elementary,en,https://arcgis.com/home/item.html?id=017e8ab90a2d4232b2ec01fac6a226c5,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Elementary education,C3|ConnectED|Common Core|settlement patterns|people|surface water|history|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the relationship between the location of surface water and US population settlement patterns.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
05 - Exploring elevation with Lewis and Clark - Esri GeoInquiries™ collection for Upper Elementary,Esri,Esri,11/23/21, Upper Elementary,en,https://arcgis.com/home/item.html?id=65f93f497c9d4e23880cf124208b8c23,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Elementary education,elevation|Lewis and Clark|ConnectED|GeoInquiries|GeoInquiry|elementary|social studies|C3|Common Core|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the route that Lewis and Clark followed and identify elevation levels throughout the regions of the United States.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
06 - Expansion of the United States - Esri GeoInquiries™ collection for Upper Elementary,Esri,Esri,11/23/21, Upper Elementary,en,https://arcgis.com/home/item.html?id=d59e6602e08341d2b6abc6f06efb3611,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Elementary education,westward expansion|expansion|Louisiana Purchase|ConnectED|Grade 4|elementary|social studies|history|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,This grade 4 activity explores how the United States grew from the original 13 colonies to 50 states.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
07 - Discovering map scale - Esri GeoInquiries™ collection for Upper Elementary,Esri,Esri,11/23/21, Upper Elementary,en,https://arcgis.com/home/item.html?id=06cb474983064d42ad88c8ef004c7c8a,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Elementary education,GeoInquiries|GeoInquiry|ConnectED|Map scale|mapScale|scale|map|Grade 4|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Compare map scales using a satellite image.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
08 - Where does the water go? - Esri GeoInquiries™ collection for Upper Elementary,Esri,Esri,11/23/21, Upper Elementary,en,https://arcgis.com/home/item.html?id=b536a8723fd5410d8a246f884e0af1c4,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,Elementary education,water|watersheds|rivers|lakes|elevation|Grade 4|ConnectED|NGSS|GeoInquiries|GeoInquiry|metrics,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Investigate watersheds and the effect elevation plays on the movement of rainwater through the watershed.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
